,count,champion,team,role
138,2.0,Vi,TL,JUNGLE
139,1.0,Kindred,TL,JUNGLE
140,3.0,Ahri,TL,MIDDLE
141,3.0,Neeko,TL,MIDDLE
142,1.0,LeBlanc,TL,MIDDLE
143,1.0,Viktor,TL,MIDDLE
144,1.0,Ziggs,TL,MIDDLE
145,4.0,Kai'Sa,TL,BOTTOM
146,3.0,Aphelios,TL,BOTTOM
147,1.0,Ashe,TL,BOTTOM
148,1.0,Varus,TL,BOTTOM
149,2.0,Rell,TL,UTILITY
150,2.0,Renata Glasc,TL,UTILITY
151,1.0,Alistar,TL,UTILITY
152,1.0,Milio,TL,UTILITY
153,1.0,Nautilus,TL,UTILITY
154,1.0,Rakan,TL,UTILITY
155,1.0,Thresh,TL,UTILITY
156,1.0,K'Sante,100,TOP
157,1.0,Kennen,100,TOP
158,1.0,Renekton,100,TOP
159,1.0,Sion,100,TOP
160,1.0,Lee Sin,100,JUNGLE
161,1.0,Maokai,100,JUNGLE
162,1.0,Wukong,100,JUNGLE
163,1.0,Sejuani,100,JUNGLE
164,2.0,Azir,100,MIDDLE
165,1.0,Ahri,100,MIDDLE
166,1.0,Neeko,100,MIDDLE
167,2.0,Xayah,100,BOTTOM
168,1.0,Varus,100,BOTTOM
169,1.0,Zeri,100,BOTTOM
170,2.0,Rakan,100,UTILITY
171,1.0,Milio,100,UTILITY
172,1.0,Rell,100,UTILITY
173,4.0,Renekton,NRG,TOP
174,3.0,Jax,NRG,TOP
175,3.0,K'Sante,NRG,TOP
176,2.0,Gangplank,NRG,TOP
177,1.0,Jayce,NRG,TOP
178,1.0,Ornn,NRG,TOP
179,1.0,Rumble,NRG,TOP
180,3.0,Ivern,NRG,JUNGLE
181,2.0,Rell,NRG,JUNGLE
182,2.0,Sejuani,NRG,JUNGLE
183,1.0,Amumu,NRG,JUNGLE
184,1.0,Kha'Zix,NRG,JUNGLE
185,1.0,Maokai,NRG,JUNGLE
186,1.0,Wukong,NRG,JUNGLE
187,1.0,Nidalee,NRG,JUNGLE
188,1.0,Poppy,NRG,JUNGLE
189,1.0,Trundle,NRG,JUNGLE
190,1.0,Viego,NRG,JUNGLE
191,6.0,Azir,NRG,MIDDLE
192,4.0,Jayce,NRG,MIDDLE
193,2.0,LeBlanc,NRG,MIDDLE
194,1.0,Lucian,NRG,MIDDLE
195,1.0,Neeko,NRG,MIDDLE
196,1.0,Taliyah,NRG,MIDDLE
197,6.0,Kai'Sa,NRG,BOTTOM
198,4.0,Xayah,NRG,BOTTOM
199,2.0,Zeri,NRG,BOTTOM
200,1.0,Aphelios,NRG,BOTTOM
201,1.0,Ezreal,NRG,BOTTOM
202,1.0,Sivir,NRG,BOTTOM
203,5.0,Rell,NRG,UTILITY
204,4.0,Alistar,NRG,UTILITY
205,4.0,Rakan,NRG,UTILITY
206,1.0,Maokai,NRG,UTILITY
207,1.0,Nautilus,NRG,UTILITY
208,1.0,K'Sante,IMT,TOP
209,1.0,Malphite,IMT,TOP
210,1.0,Ornn,IMT,TOP
211,1.0,Poppy,IMT,TOP
212,2.0,Viego,IMT,JUNGLE
213,1.0,Wukong,IMT,JUNGLE
214,1.0,Nautilus,IMT,JUNGLE
215,1.0,Ahri,IMT,MIDDLE
216,1.0,Annie,IMT,MIDDLE
217,1.0,Neeko,IMT,MIDDLE
218,1.0,Ziggs,IMT,MIDDLE
219,2.0,Aphelios,IMT,BOTTOM
220,1.0,Jinx,IMT,BOTTOM
221,1.0,Kai'Sa,IMT,BOTTOM
222,1.0,Alistar,IMT,UTILITY
223,1.0,Nautilus,IMT,UTILITY
224,1.0,Rakan,IMT,UTILITY
225,1.0,Rell,IMT,UTILITY
226,10.0,Renekton,C9,TOP
227,6.0,K'Sante,C9,TOP
228,3.0,Jax,C9,TOP
229,3.0,Kennen,C9,TOP
230,2.0,Aatrox,C9,TOP
231,2.0,Rumble,C9,TOP
232,1.0,Gnar,C9,TOP
233,1.0,Gragas,C9,TOP
234,1.0,Gwen,C9,TOP
235,6.0,Maokai,C9,JUNGLE
236,6.0,Sejuani,C9,JUNGLE
237,5.0,Kindred,C9,JUNGLE
238,3.0,Rell,C9,JUNGLE
239,3.0,Vi,C9,JUNGLE
240,2.0,Kha'Zix,C9,JUNGLE
241,1.0,Ivern,C9,JUNGLE
242,1.0,Nocturne,C9,JUNGLE
243,1.0,Poppy,C9,JUNGLE
244,1.0,Viego,C9,JUNGLE
245,5.0,Annie,C9,MIDDLE
246,5.0,Jayce,C9,MIDDLE
247,5.0,Tristana,C9,MIDDLE
248,3.0,Ahri,C9,MIDDLE
249,2.0,Gragas,C9,MIDDLE
250,1.0,Corki,C9,MIDDLE
251,1.0,K'Sante,C9,MIDDLE
252,1.0,Kai'Sa,C9,MIDDLE
253,1.0,LeBlanc,C9,MIDDLE
254,1.0,Lissandra,C9,MIDDLE
255,1.0,Neeko,C9,MIDDLE
256,1.0,Orianna,C9,MIDDLE
257,1.0,Yone,C9,MIDDLE
258,1.0,Zeri,C9,MIDDLE
259,7.0,Kai'Sa,C9,BOTTOM
260,5.0,Aphelios,C9,BOTTOM
261,4.0,Ashe,C9,BOTTOM
262,4.0,Xayah,C9,BOTTOM
263,3.0,Zeri,C9,BOTTOM
264,2.0,Draven,C9,BOTTOM
265,1.0,Ezreal,C9,BOTTOM
266,1.0,Kog'Maw,C9,BOTTOM
267,1.0,Sivir,C9,BOTTOM
268,1.0,Varus,C9,BOTTOM
269,5.0,Milio,C9,UTILITY
270,5.0,Nautilus,C9,UTILITY
271,5.0,Rell,C9,UTILITY
272,4.0,Rakan,C9,UTILITY
273,3.0,Braum,C9,UTILITY
274,2.0,Yuumi,C9,UTILITY
275,1.0,Alistar,C9,UTILITY
276,1.0,Heimerdinger,C9,UTILITY
277,1.0,Lulu,C9,UTILITY
278,1.0,Renata Glasc,C9,UTILITY
279,1.0,Soraka,C9,UTILITY
